,precision,recall,f1-score,support
0,0.8311688311688312,0.7804878048780488,0.8050314465408805,82.0
1,0.8317757009345794,0.8725490196078431,0.8516746411483254,102.0
accuracy,0.8315217391304348,0.8315217391304348,0.8315217391304348,0.8315217391304348
macro avg,0.8314722660517053,0.826518412242946,0.828353043844603,184.0
weighted avg,0.8315052481041916,0.8315217391304348,0.8308880000732685,184.0
