,precision,recall,f1-score,support
0,0.8157894736842105,0.7560975609756098,0.7848101265822784,82.0
1,0.8148148148148148,0.8627450980392157,0.8380952380952381,102.0
accuracy,0.8152173913043478,0.8152173913043478,0.8152173913043478,0.8152173913043478
macro avg,0.8153021442495126,0.8094213295074127,0.8114526823387582,184.0
weighted avg,0.8152491736587845,0.8152173913043478,0.8143486123122888,184.0
