,precision,recall,f1-score,support
0,0.8354430379746836,0.8048780487804879,0.8198757763975155,82.0
1,0.8476190476190476,0.8725490196078431,0.8599033816425121,102.0
accuracy,0.842391304347826,0.842391304347826,0.842391304347826,0.842391304347826
macro avg,0.8415310427968656,0.8387135341941655,0.8398895790200138,184.0
weighted avg,0.8421927824514505,0.842391304347826,0.8420649923485463,184.0
