,precision,recall,f1-score,support
0,0.825,0.8048780487804879,0.8148148148148148,82.0
1,0.8461538461538461,0.8627450980392157,0.8543689320388349,102.0
accuracy,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.8369565217391305
macro avg,0.835576923076923,0.8338115734098518,0.8345918734268248,184.0
weighted avg,0.8367265886287625,0.8369565217391305,0.8367415537107389,184.0
