Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
random_forest,0.8152173913043478,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.917144906743185
xgboost,0.842391304347826,0.8476190476190476,0.8725490196078431,0.8599033816425121,0.9187589670014348
catboost,0.8315217391304348,0.8317757009345794,0.8725490196078431,0.8516746411483254,0.9170253467240554
stacking,0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9221664275466284
